Epoch,Timestamp,ProcessMemoryUsedKB,TotalMemoryKB,AvailableMemoryKB
1,1723438810,16928,404308377,326070726
2,1723438820,16928,404308377,326067642
3,1723438830,16928,404308377,326069469
4,1723438840,16928,404308377,326069469
5,1723438850,16928,404308377,326069469
6,1723438860,16928,404308377,326074609
7,1723438870,16928,404308377,326074109
8,1723438880,17060,404308377,326074138
9,1723438890,17324,404308377,326080401
10,1723438900,17324,404308377,326079930
11,1723438910,17324,404308377,326081904
12,1723438920,21812,404308377,326090747
13,1723438930,21812,404308377,326091005
14,1723438940,21812,404308377,326097272
15,1723438950,21812,404308377,326098829
16,1723438960,21812,404308377,326098563
17,1723438970,21812,404308377,326108340
18,1723438980,21812,404308377,326116093
19,1723438990,21812,404308377,326117371
20,1723439000,21812,404308377,326118498
21,1723439010,21812,404308377,326118498
22,1723439020,21812,404308377,326124826
23,1723439030,21812,404308377,326128570
24,1723439040,21812,404308377,326129340
25,1723439050,21812,404308377,326128427
26,1723439060,21812,404308377,326128451
27,1723439070,21812,404308377,326128451
28,1723439080,21812,404308377,326127960
29,1723439090,21812,404308377,326139920
30,1723439100,21812,404308377,326139670
31,1723439110,21812,404308377,326139678
32,1723439120,21812,404308377,326139944
33,1723439130,21812,404308377,326143246
34,1723439140,21812,404308377,326145634
35,1723439150,21812,404308377,326145421
36,1723439160,21812,404308377,326145421
37,1723439170,21812,404308377,326145228
38,1723439180,21812,404308377,326144196
39,1723439190,21812,404308377,326142132
40,1723439200,21812,404308377,326147633
41,1723439210,21812,404308377,326147891
42,1723439220,21812,404308377,326146875
43,1723439230,21812,404308377,326146134
44,1723439240,21812,404308377,326146134
45,1723439250,21812,404308377,326144405
46,1723439260,21812,404308377,326143373
47,1723439270,21812,404308377,326145191
48,1723439269,21812,404308377,326145191
49,1723439279,21812,404308377,326146658
50,1723439289,21812,404308377,326150004
51,1723439299,21812,404308377,326152261
52,1723439309,21812,404308377,326151114
53,1723439319,21812,404308377,326152482
54,1723439329,21812,404308377,326152224
55,1723439339,21812,404308377,326154514
56,1723439349,21812,404308377,326155661
57,1723439359,21812,404308377,326156992
58,1723439369,21812,404308377,326156779
59,1723439379,21812,404308377,326157688
60,1723439389,21812,404308377,326157705
61,1723439399,21812,404308377,326160969
62,1723439409,21812,404308377,326161743
63,1723439419,21812,404308377,326160195
64,1723439429,21812,404308377,326160711
65,1723439439,21812,404308377,326161686
66,1723439449,21812,404308377,326163673
67,1723439459,21812,404308377,326163156
68,1723439469,21812,404308377,326163697
69,1723439479,21812,404308377,326163722
70,1723439489,21812,404308377,326163378
71,1723439499,21812,404308377,326162616
72,1723439509,21812,404308377,326160232
73,1723439519,21812,404308377,326159458
74,1723439529,21812,404308377,326160424
75,1723439539,21812,404308377,326161997
76,1723439549,21812,404308377,326163001
77,1723439559,21812,404308377,326164242
78,1723439569,21812,404308377,326165090
79,1723439579,21812,404308377,326166638
80,1723439589,21812,404308377,326166638
81,1723439599,21812,404308377,326168739
82,1723439609,21812,404308377,326168768
83,1723439619,21812,404308377,326168539
84,1723439629,21812,404308377,326168023
85,1723439639,21812,404308377,326168023
86,1723439649,21812,404308377,326168416
87,1723439659,21812,404308377,326169673
88,1723439669,21812,404308377,326169731
89,1723439679,21812,404308377,326169731
90,1723439689,21812,404308377,326169989
91,1723439699,21812,404308377,326169473
92,1723439699,21812,404308377,326169473
