Epoch,Timestamp,ProcessMemoryUsedKB,TotalMemoryKB,AvailableMemoryKB
1,1723438810,17468,404308377,325450698
2,1723438820,17616,404308377,325420560
3,1723438830,17760,404308377,325503295
4,1723438840,17904,404308377,325422063
5,1723438850,17904,404308377,325433425
6,1723438860,17904,404308377,325443411
7,1723438870,18048,404308377,325448155
8,1723438880,18192,404308377,325463715
9,1723438890,22564,404308377,325443993
10,1723438900,22564,404308377,325444763
11,1723438910,22712,404308377,325446479
12,1723438920,22860,404308377,325445173
13,1723438930,23040,404308377,325462351
14,1723438940,23040,404308377,325462544
15,1723438950,23040,404308377,325455130
16,1723438960,23040,404308377,325471793
17,1723438970,23040,404308377,325470240
18,1723438980,23040,404308377,325473296
19,1723438990,23040,404308377,325472899
20,1723439000,23040,404308377,325472051
21,1723439010,23040,404308377,325468045
22,1723439020,23040,404308377,325471744
23,1723439030,23040,404308377,325474213
24,1723439040,23040,404308377,325472845
25,1723439050,23040,404308377,325472395
26,1723439060,23040,404308377,325479751
27,1723439070,23040,404308377,325476667
28,1723439080,23040,404308377,325485162
29,1723439090,23040,404308377,325486768
30,1723439100,23040,404308377,325478526
31,1723439110,23040,404308377,325484888
32,1723439120,23040,404308377,325479346
33,1723439130,23040,404308377,325796782
34,1723439140,23040,404308377,325706760
35,1723439150,23040,404308377,325706502
36,1723439160,23040,404308377,325701685
37,1723439170,23040,404308377,325700435
38,1723439180,23040,404308377,325682503
39,1723439190,23040,404308377,325690605
40,1723439200,23040,404308377,325676556
41,1723439210,23040,404308377,325671522
42,1723439220,23040,404308377,325676191
43,1723439230,23040,404308377,325676478
44,1723439240,23040,404308377,325793423
45,1723439250,23040,404308377,325705756
46,1723439260,23444,404308377,325705039
47,1723439270,23444,404308377,325702365
48,1723439269,23444,404308377,325702365
49,1723439279,23444,404308377,325679722
50,1723439289,23444,404308377,325688381
51,1723439299,23444,404308377,325679161
52,1723439309,23444,404308377,325686484
53,1723439319,23444,404308377,325681164
54,1723439329,23444,404308377,325677121
55,1723439339,23444,404308377,325679722
56,1723439349,23444,404308377,325671940
57,1723439359,23444,404308377,325666426
58,1723439369,23444,404308377,325673066
59,1723439379,23444,404308377,325664370
60,1723439389,23444,404308377,325669556
61,1723439399,23444,404308377,325664686
62,1723439409,23444,404308377,325664165
63,1723439419,23444,404308377,325663412
64,1723439429,23444,404308377,325656473
65,1723439439,23444,404308377,325654020
66,1723439449,23444,404308377,325661405
67,1723439459,23444,404308377,325652934
68,1723439469,23444,404308377,325660278
69,1723439479,23444,404308377,325648486
70,1723439489,23444,404308377,325653782
71,1723439499,23444,404308377,325636386
72,1723439509,23444,404308377,325648392
73,1723439519,23444,404308377,325642985
74,1723439529,23444,404308377,325637185
75,1723439539,23444,404308377,325645492
76,1723439549,23444,404308377,325650956
77,1723439559,23444,404308377,325644005
78,1723439569,23444,404308377,325650989
79,1723439579,23444,404308377,325641199
80,1723439589,23444,404308377,325649715
81,1723439599,23444,404308377,325645152
82,1723439609,23444,404308377,325646249
83,1723439619,23444,404308377,325641986
84,1723439629,23444,404308377,325638926
85,1723439639,23444,404308377,325640708
86,1723439649,23444,404308377,325631492
87,1723439659,23444,404308377,325637783
88,1723439669,23444,404308377,325629325
89,1723439679,23444,404308377,325630201
90,1723439689,23444,404308377,325617147
91,1723439699,23444,404308377,325633671
92,1723439699,23444,404308377,325633507
