New TCP connections detected: 1.254.174.225 -> True: 315, Estimated: 1166, ARE: 1.0000
New TCP connections detected: 130.189.92.134 -> True: 228, Estimated: 1212, ARE: 1.0000
New TCP connections detected: 131.98.137.48 -> True: 5048, Estimated: 5922, ARE: 0.1731
New TCP connections detected: 131.98.99.244 -> True: 436, Estimated: 1455, ARE: 1.0000
New TCP connections detected: 131.98.99.245 -> True: 464, Estimated: 1469, ARE: 1.0000
New TCP connections detected: 131.99.1.110 -> True: 438, Estimated: 1295, ARE: 1.0000
New TCP connections detected: 131.99.79.126 -> True: 237, Estimated: 1223, ARE: 1.0000
New TCP connections detected: 131.99.80.181 -> True: 299, Estimated: 1224, ARE: 1.0000
New TCP connections detected: 131.99.80.24 -> True: 2213, Estimated: 3131, ARE: 0.4148
New TCP connections detected: 131.99.81.23 -> True: 235, Estimated: 1169, ARE: 1.0000
New TCP connections detected: 131.99.96.179 -> True: 301, Estimated: 1162, ARE: 1.0000
New TCP connections detected: 133.11.38.93 -> True: 307, Estimated: 1151, ARE: 1.0000
New TCP connections detected: 133.11.39.75 -> True: 303, Estimated: 1193, ARE: 1.0000
New TCP connections detected: 133.23.76.165 -> True: 277, Estimated: 1181, ARE: 1.0000
New TCP connections detected: 133.3.126.30 -> True: 697, Estimated: 1652, ARE: 1.0000
New TCP connections detected: 133.3.126.31 -> True: 672, Estimated: 1631, ARE: 1.0000
New TCP connections detected: 133.3.126.40 -> True: 524, Estimated: 1492, ARE: 1.0000
New TCP connections detected: 133.3.126.54 -> True: 677, Estimated: 1519, ARE: 1.0000
New TCP connections detected: 133.3.126.57 -> True: 478, Estimated: 1336, ARE: 1.0000
New TCP connections detected: 133.3.126.60 -> True: 715, Estimated: 1648, ARE: 1.0000
New TCP connections detected: 133.3.228.174 -> True: 347, Estimated: 1265, ARE: 1.0000
New TCP connections detected: 133.3.248.224 -> True: 273, Estimated: 1275, ARE: 1.0000
New TCP connections detected: 133.3.252.102 -> True: 635, Estimated: 1576, ARE: 1.0000
New TCP connections detected: 133.3.254.31 -> True: 322, Estimated: 1262, ARE: 1.0000
New TCP connections detected: 141.161.108.118 -> True: 245, Estimated: 1230, ARE: 1.0000
New TCP connections detected: 141.161.111.108 -> True: 271, Estimated: 1186, ARE: 1.0000
New TCP connections detected: 150.124.136.37 -> True: 515, Estimated: 1509, ARE: 1.0000
New TCP connections detected: 150.124.156.12 -> True: 944, Estimated: 1844, ARE: 0.9534
New TCP connections detected: 150.124.156.14 -> True: 4822, Estimated: 5748, ARE: 0.1920
New TCP connections detected: 150.124.181.229 -> True: 7801, Estimated: 8820, ARE: 0.1306
New TCP connections detected: 150.124.182.98 -> True: 473, Estimated: 1350, ARE: 1.0000
New TCP connections detected: 150.124.183.228 -> True: 380, Estimated: 1243, ARE: 1.0000
New TCP connections detected: 150.124.207.130 -> True: 617, Estimated: 1426, ARE: 1.0000
New TCP connections detected: 150.124.225.67 -> True: 460, Estimated: 1407, ARE: 1.0000
New TCP connections detected: 150.124.244.56 -> True: 1603, Estimated: 2499, ARE: 0.5590
New TCP connections detected: 152.125.45.239 -> True: 231, Estimated: 1203, ARE: 1.0000
New TCP connections detected: 153.65.100.158 -> True: 358, Estimated: 1252, ARE: 1.0000
New TCP connections detected: 157.90.154.232 -> True: 283, Estimated: 1199, ARE: 1.0000
New TCP connections detected: 157.90.225.132 -> True: 287, Estimated: 1281, ARE: 1.0000
New TCP connections detected: 157.90.8.172 -> True: 278, Estimated: 1144, ARE: 1.0000
New TCP connections detected: 162.227.133.120 -> True: 590, Estimated: 1583, ARE: 1.0000
New TCP connections detected: 163.19.0.132 -> True: 430, Estimated: 1343, ARE: 1.0000
New TCP connections detected: 163.19.21.15 -> True: 595, Estimated: 1535, ARE: 1.0000
New TCP connections detected: 163.19.21.3 -> True: 459, Estimated: 1377, ARE: 1.0000
New TCP connections detected: 163.19.34.75 -> True: 921, Estimated: 1847, ARE: 1.0000
New TCP connections detected: 163.19.4.219 -> True: 493, Estimated: 1368, ARE: 1.0000
New TCP connections detected: 163.19.7.47 -> True: 463, Estimated: 1381, ARE: 1.0000
New TCP connections detected: 175.214.57.206 -> True: 484, Estimated: 1369, ARE: 1.0000
New TCP connections detected: 18.187.122.62 -> True: 273, Estimated: 1119, ARE: 1.0000
New TCP connections detected: 202.12.26.38 -> True: 381, Estimated: 1364, ARE: 1.0000
New TCP connections detected: 202.12.30.224 -> True: 275, Estimated: 1263, ARE: 1.0000
New TCP connections detected: 202.21.42.137 -> True: 601, Estimated: 1546, ARE: 1.0000
New TCP connections detected: 202.21.42.172 -> True: 643, Estimated: 1463, ARE: 1.0000
New TCP connections detected: 202.21.42.54 -> True: 488, Estimated: 1283, ARE: 1.0000
New TCP connections detected: 202.21.43.188 -> True: 61203, Estimated: 62128, ARE: 0.0151
New TCP connections detected: 202.21.43.4 -> True: 478, Estimated: 1427, ARE: 1.0000
New TCP connections detected: 202.21.45.96 -> True: 476, Estimated: 1367, ARE: 1.0000
New TCP connections detected: 202.215.76.58 -> True: 724, Estimated: 1609, ARE: 1.0000
New TCP connections detected: 202.215.83.244 -> True: 1197, Estimated: 2153, ARE: 0.7987
New TCP connections detected: 202.218.88.107 -> True: 953, Estimated: 1894, ARE: 0.9874
New TCP connections detected: 202.218.90.185 -> True: 262, Estimated: 1281, ARE: 1.0000
New TCP connections detected: 202.218.93.50 -> True: 459, Estimated: 1241, ARE: 1.0000
New TCP connections detected: 202.218.95.11 -> True: 621, Estimated: 1446, ARE: 1.0000
New TCP connections detected: 202.218.95.114 -> True: 248, Estimated: 1191, ARE: 1.0000
New TCP connections detected: 202.218.95.154 -> True: 667, Estimated: 1541, ARE: 1.0000
New TCP connections detected: 202.7.166.224 -> True: 478, Estimated: 1257, ARE: 1.0000
New TCP connections detected: 203.193.112.245 -> True: 308, Estimated: 1132, ARE: 1.0000
New TCP connections detected: 203.193.115.144 -> True: 6224, Estimated: 7127, ARE: 0.1451
New TCP connections detected: 203.193.115.153 -> True: 273, Estimated: 1204, ARE: 1.0000
New TCP connections detected: 203.193.116.105 -> True: 1405, Estimated: 2309, ARE: 0.6434
New TCP connections detected: 203.193.118.180 -> True: 754, Estimated: 1644, ARE: 1.0000
New TCP connections detected: 203.193.120.37 -> True: 481, Estimated: 1346, ARE: 1.0000
